,environment_score,governance_score,social_score,environment_grade,social_grade,governance_grade,Name
PGR,346,250,347,BB,BB,B,The Progressive Corporation
D,510,300,304,A,BB,BB,Dominion Energy
EW,290,320,326,B,BB,BB,Edwards Lifesciences Corporation
FDX,330,275,270,BB,B,B,FedEx Corporation
EOG,423,240,256,BBB,B,B,EOG Resources
FIS,570,310,340,A,BB,BB,Fidelity National Information Services
NSC,352,335,358,BB,BB,BB,Norfolk Southern Corporation
ICE,500,305,302,A,BB,BB,Intercontinental Exchange
CL,520,310,315,A,BB,BB,Colgate-Palmolive Company
HCA,525,310,345,A,BB,BB,HCA Healthcare
BDX,607,320,404,AA,BBB,BB,Becton
SO,535,310,353,A,BB,BB,The Southern Company
ITW,550,315,332,A,BB,BB,Illinois Tool Works Inc.
CCI,551,305,341,A,BB,BB,Crown Castle International Corp. (REIT)
SHW,395,240,288,BB,B,B,The Sherwin-Williams Company
MMC,500,300,300,A,BB,BB,Marsh & McLennan Companies
GM,410,205,338,BBB,BB,B,General Motors Company
CI,499,343,324,BBB,BB,BB,Cigna Corporation
F,245,200,234,B,B,B,Ford Motor Company
DUK,605,321,322,AA,BB,BB,Duke Energy Corporation
CME,365,300,240,BB,B,BB,CME Group Inc.
TFC,425,305,409,BBB,BBB,BB,Truist Financial Corporation
TJX,500,300,300,A,BB,BB,The TJX Companies
USB,368,290,300,BB,BB,B,U.S. Bancorp
PNC,420,300,323,BBB,BB,BB,The PNC Financial Services Group
ZTS,505,315,362,A,BB,BB,Zoetis Inc.
MO,525,366,300,A,BB,BB,Altria Group
SYK,500,315,305,A,BB,BB,Stryker Corporation
SPGI,473,300,308,BBB,BB,BB,S&P Global Inc.
BKNG,500,300,302,A,BB,BB,Booking Holdings Inc
MMM,505,320,343,A,BB,BB,3M Company
GE,500,300,300,A,BB,BB,Gefran
TGT,613,315,352,AA,BB,BB,Target Corporation
NOW,590,320,334,A,BB,BB,ServiceNow
ANTM,505,300,306,A,BB,BB,Anthem
LMT,505,308,309,A,BB,BB,Lockheed Martin Corporation
AMT,515,300,332,A,BB,BB,American Tower Corporation (REIT)
EL,500,300,300,A,BB,BB,EssilorLuxottica Société anonyme
PLD,700,330,390,AA,BB,BB,Prologis
BA,210,225,210,B,B,B,Bangkok Airways Public Company Limited
GS,555,310,344,A,BB,BB,The Goldman Sachs Group
CAT,255,255,263,B,B,B,Caxton and CTP Publishers and Printers Limited
DE,545,320,344,A,BB,BB,Deere & Company
COP,420,308,543,BBB,A,BB,ConocoPhillips
IBM,245,215,233,B,B,B,International Business Machines Corporation
AMD,205,210,205,B,B,B,Advanced Micro Devices
C,515,310,301,A,BB,BB,Citigroup Inc.
AXP,210,205,227,B,B,B,American Express Company
RTX,515,308,310,A,BB,BB,Raytheon Technologies Corporation
HON,517,300,344,A,BB,BB,Honeywell International Inc.
MDT,535,320,318,A,BB,BB,Medtronic plc
CVS,545,318,307,A,BB,BB,CVS Health Corporation
BMY,530,310,327,A,BB,BB,Bristol-Myers Squibb Company
NEE,700,321,381,AA,BB,BB,NextEra Energy
LOW,203,200,200,B,B,B,Lowes Companies
UNP,278,205,242,B,B,B,Union Pacific Corporation
PM,580,333,307,A,BB,BB,Philip Morris International Inc.
LIN,60,275,240,DDD,B,B,Lindian Resources Limited
UPS,510,240,301,A,BB,B,United Parcel Service
SCHW,225,300,301,B,BB,BB,The Charles Schwab Corporation
T,200,305,203,B,B,BB,AT&T Inc.
MS,700,320,534,AA,A,BB,Morgan Stanley
MCD,505,300,322,A,BB,BB,McDonalds Corporation
DHR,550,300,347,A,BB,BB,Danaher Corporation
MRK,500,300,302,A,BB,BB,Merck & Co.
CRM,265,205,227,B,B,B,salesforce.com
ABT,520,300,321,A,BB,BB,Abbott Laboratories
ORCL,560,315,308,A,BB,BB,Oracle Corporation
